image_index,contrast_0
809,3715.298657718121
810,2336.244966442953
811,2312.9697986577185
812,2152.953020134228
813,0.0
814,9307.157718120803
815,10654.208053691276
816,8652.543624161073
817,0.0
818,8832.926174496642
819,2222.778523489933
820,1373.234899328859
821,1187.0335570469797
822,2187.8657718120803
823,2164.590604026845
824,3139.238255033557
825,2307.151006711409
826,2787.201342281879
827,2842.479865771812
828,1477.9731543624162
829,2211.1409395973155
830,1477.9731543624162
831,2257.691275167785
832,2024.939597315436
833,2356.610738255033
834,5234.003355704697
835,4378.640939597315
836,6595.60067114094
837,1760.1845637583892
838,1760.1845637583892
839,2187.8657718120803
840,1626.3523489932886
841,1233.5838926174497
842,2103.493288590604
843,2155.862416107382
844,2155.862416107382
845,2208.231543624161
846,1803.8255033557043
847,1803.8255033557043
848,1803.8255033557043
849,15166.681208053693
850,12766.429530201342
851,12359.114093959732
852,7715.718120805369
853,8140.489932885906
854,8111.395973154362
855,0.0
856,3316.711409395973
857,2813.3859060402683
858,2874.48322147651
859,2729.013422818792
860,3788.03355704698
861,4922.697986577181
862,5364.926174496644
863,5207.818791946309
864,4186.620805369128
865,2755.197986577181
866,0.0
867,4052.7885906040265
868,4035.3322147651006
869,3447.63422818792
870,3223.610738255033
871,3793.8523489932886
872,0.0
873,3284.7080536912754
874,1809.6442953020132
875,2272.238255033557
876,1399.4194630872482
877,1399.4194630872482
878,2266.419463087248
879,2118.040268456376
880,2077.308724832215
881,1242.3120805369126
882,3287.6174496644294
883,3147.96644295302
884,3459.2718120805366
885,0.0
886,2216.959731543624
887,2240.2348993288592
888,2362.4295302013425
889,2298.422818791946
890,1445.969798657718
891,13464.68456375839
892,13522.872483221476
893,13281.392617449665
894,3319.620805369127
895,3287.6174496644294
896,3290.526845637584
897,2461.3489932885905
898,2467.1677852348994
899,0.0
900,4410.644295302013
901,4017.875838926175
902,3753.120805369128
903,3927.684563758389
904,0.0
905,3433.087248322148
906,4055.697986577181
907,4026.6040268456377
908,0.0
909,2193.684563758389
910,1454.6979865771814
911,2318.788590604027
912,11157.53355704698
913,9403.1677852349
914,9880.308724832215
915,4174.98322147651
916,0.0
917,3470.9093959731545
918,2606.818791946309
919,2356.610738255033
920,2525.3557046979868
921,7363.681208053691
922,6645.060402684563
923,7215.302013422819
924,8029.932885906041
